hash_family;4
hash_number;10
area_number;255
bit_mapping;20
cells_number;1048576
cell_size;1
byte_size;1048576
members;65280
collisions;166974
sparsity;0.53668022
a-priori fpp;0.00045692
fpp;0.00045584
a-priori safeness probability;0.03292182
area;members;expected cells;self-collisions;cells;expected emersion;emersion;a-priori fpp;fpp;a-priori isep;expected ise;isep;a-priori safep
110;292;2383;3;2374;0.81718242;0.81384987;0.00000001;0.00000001;0.00000004;0.00001218;0.00000005;0.99998784
111;290;2373;8;2372;0.81944555;0.82019365;0.00000000;0.00000000;0.00000004;0.00001068;0.00000004;0.99998933
112;288;2363;4;2374;0.82169932;0.82545203;0.00000000;0.00000000;0.00000003;0.00000935;0.00000003;0.99999064
113;286;2353;4;2354;0.82394361;0.82422972;0.00000000;0.00000000;0.00000003;0.00000818;0.00000003;0.99999183
114;284;2343;1;2310;0.82617819;0.81366676;0.00000000;0.00000000;0.00000003;0.00000715;0.00000005;0.99999285
115;282;2333;2;2342;0.82840312;0.83108586;0.00000000;0.00000000;0.00000002;0.00000624;0.00000002;0.99999374
116;280;2323;3;2345;0.83061814;0.83839828;0.00000000;0.00000000;0.00000002;0.00000544;0.00000001;0.99999458
117;278;2312;7;2294;0.83282322;0.82726288;0.00000000;0.00000000;0.00000002;0.00000474;0.00000002;0.99999523
118;276;2302;3;2298;0.83501822;0.83351469;0.00000000;0.00000000;0.00000001;0.00000412;0.00000002;0.99999589
119;274;2291;8;2269;0.83720303;0.83052707;0.00000000;0.00000000;0.00000001;0.00000358;0.00000002;0.99999642
120;272;2280;4;2254;0.83937752;0.82989693;0.00000000;0.00000000;0.00000001;0.00000311;0.00000002;0.99999690
121;270;2269;1;2288;0.84154165;0.84772140;0.00000000;0.00000000;0.00000001;0.00000269;0.00000001;0.99999732
122;268;2258;3;2264;0.84369528;0.84572279;0.00000000;0.00000000;0.00000001;0.00000233;0.00000001;0.99999768
123;266;2247;4;2271;0.84583825;0.85504520;0.00000000;0.00000000;0.00000001;0.00000202;0.00000000;0.99999797
124;264;2236;4;2240;0.84797049;0.84977239;0.00000000;0.00000000;0.00000001;0.00000174;0.00000001;0.99999827
125;262;2224;7;2197;0.85009187;0.84079599;0.00000000;0.00000000;0.00000001;0.00000150;0.00000001;0.99999851
126;260;2213;3;2193;0.85220236;0.84443587;0.00000000;0.00000000;0.00000000;0.00000129;0.00000001;0.99999869
127;258;2201;6;2185;0.85430175;0.84887338;0.00000000;0.00000000;0.00000000;0.00000111;0.00000001;0.99999887
128;256;2190;6;2151;0.85639000;0.84220833;0.00000000;0.00000000;0.00000000;0.00000096;0.00000001;0.99999905
129;254;2178;2;2178;0.85846698;0.85815603;0.00000000;0.00000000;0.00000000;0.00000082;0.00000000;0.99999917
130;252;2166;4;2201;0.86053258;0.87480128;0.00000000;0.00000000;0.00000000;0.00000070;0.00000000;0.99999928
131;250;2154;3;2152;0.86258674;0.86183423;0.00000000;0.00000000;0.00000000;0.00000060;0.00000000;0.99999940
132;248;2142;3;2160;0.86462927;0.87202263;0.00000000;0.00000000;0.00000000;0.00000051;0.00000000;0.99999946
133;246;2129;4;2135;0.86666006;0.86929965;0.00000000;0.00000000;0.00000000;0.00000044;0.00000000;0.99999958
134;244;2117;3;2114;0.86867911;0.86746001;0.00000000;0.00000000;0.00000000;0.00000037;0.00000000;0.99999964
135;242;2105;1;2091;0.87068623;0.86440676;0.00000000;0.00000000;0.00000000;0.00000032;0.00000000;0.99999970
136;240;2092;1;2080;0.87268138;0.86702794;0.00000000;0.00000000;0.00000000;0.00000027;0.00000000;0.99999970
137;238;2079;5;2090;0.87466443;0.88000000;0.00000000;0.00000000;0.00000000;0.00000023;0.00000000;0.99999976
138;236;2067;1;2056;0.87663519;0.87155575;0.00000000;0.00000000;0.00000000;0.00000019;0.00000000;0.99999982
139;234;2054;1;2052;0.87859368;0.87729800;0.00000000;0.00000000;0.00000000;0.00000016;0.00000000;0.99999982
140;232;2041;3;2018;0.88053972;0.87095380;0.00000000;0.00000000;0.00000000;0.00000014;0.00000000;0.99999988
141;230;2027;2;2006;0.88247329;0.87293297;0.00000000;0.00000000;0.00000000;0.00000012;0.00000000;0.99999988
142;228;2014;4;2007;0.88439423;0.88181019;0.00000000;0.00000000;0.00000000;0.00000010;0.00000000;0.99999988
143;226;2001;4;1979;0.88630241;0.87721634;0.00000000;0.00000000;0.00000000;0.00000008;0.00000000;0.99999994
144;224;1987;3;2007;0.88819778;0.89718372;0.00000000;0.00000000;0.00000000;0.00000007;0.00000000;0.99999994
145;222;1974;2;1989;0.89008021;0.89675385;0.00000000;0.00000000;0.00000000;0.00000006;0.00000000;0.99999994
146;220;1960;3;1959;0.89194965;0.89167047;0.00000000;0.00000000;0.00000000;0.00000005;0.00000000;0.99999994
147;218;1946;2;1952;0.89380592;0.89623505;0.00000000;0.00000000;0.00000000;0.00000004;0.00000000;0.99999994
148;216;1933;3;1935;0.89564902;0.89707929;0.00000000;0.00000000;0.00000000;0.00000003;0.00000000;0.99999994
149;214;1919;1;1917;0.89747876;0.89621317;0.00000000;0.00000000;0.00000000;0.00000003;0.00000000;1.00000000
150;212;1905;2;1877;0.89929515;0.88621342;0.00000000;0.00000000;0.00000000;0.00000002;0.00000000;1.00000000
151;210;1890;3;1917;0.90109795;0.91416311;0.00000000;0.00000000;0.00000000;0.00000002;0.00000000;1.00000000
152;208;1876;1;1895;0.90288723;0.91149592;0.00000000;0.00000000;0.00000000;0.00000002;0.00000000;1.00000000
153;206;1862;1;1846;0.90466273;0.89655173;0.00000000;0.00000000;0.00000000;0.00000001;0.00000000;1.00000000
154;204;1847;1;1875;0.90642446;0.91956842;0.00000000;0.00000000;0.00000000;0.00000001;0.00000000;1.00000000
155;202;1833;1;1824;0.90817231;0.90341753;0.00000000;0.00000000;0.00000000;0.00000001;0.00000000;1.00000000
