hash_family;4
hash_number;10
area_number;255
bit_mapping;20
cells_number;1048576
cell_size;1
byte_size;1048576
members;65280
collisions;166166
sparsity;0.53590965
a-priori fpp;0.00045692
fpp;0.00046347
a-priori safeness probability;0.03292182
area;members;expected cells;self-collisions;cells;expected emersion;emersion;a-priori fpp;fpp;a-priori isep;expected ise;isep;a-priori safep
67;378;2689;5;2685;0.71258241;0.71125829;0.00000036;0.00000036;0.00000385;0.00145420;0.00000403;0.99854684
68;376;2684;8;2687;0.71514219;0.71615136;0.00000033;0.00000033;0.00000352;0.00132272;0.00000340;0.99867815
69;374;2679;7;2689;0.71769744;0.72033215;0.00000030;0.00000031;0.00000321;0.00120232;0.00000293;0.99879843
70;372;2675;5;2665;0.72024816;0.71736205;0.00000028;0.00000028;0.00000294;0.00109213;0.00000325;0.99890846
71;370;2670;5;2667;0.72279412;0.72178620;0.00000026;0.00000026;0.00000268;0.00099135;0.00000278;0.99900913
72;368;2665;7;2703;0.72533524;0.73591071;0.00000024;0.00000024;0.00000244;0.00089924;0.00000165;0.99910116
73;366;2659;5;2665;0.72787136;0.72913820;0.00000022;0.00000022;0.00000223;0.00081512;0.00000213;0.99918520
74;364;2654;6;2642;0.73040247;0.72702259;0.00000020;0.00000020;0.00000203;0.00073835;0.00000230;0.99926192
75;362;2649;9;2611;0.73292840;0.72306842;0.00000018;0.00000018;0.00000185;0.00066832;0.00000265;0.99933189
76;360;2643;4;2604;0.73544908;0.72413790;0.00000017;0.00000017;0.00000168;0.00060450;0.00000255;0.99939567
77;358;2637;6;2651;0.73796427;0.74174595;0.00000015;0.00000016;0.00000153;0.00054637;0.00000132;0.99945378
78;356;2632;5;2625;0.74047399;0.73839664;0.00000014;0.00000014;0.00000139;0.00049347;0.00000150;0.99950665
79;354;2626;6;2614;0.74297804;0.73967177;0.00000013;0.00000013;0.00000126;0.00044535;0.00000143;0.99955475
80;352;2620;4;2648;0.74547637;0.75312853;0.00000012;0.00000012;0.00000114;0.00040163;0.00000084;0.99959844
81;350;2614;4;2626;0.74796885;0.75114417;0.00000011;0.00000011;0.00000103;0.00036192;0.00000091;0.99963814
82;348;2607;5;2595;0.75045532;0.74676257;0.00000010;0.00000010;0.00000094;0.00032588;0.00000108;0.99967414
83;346;2601;5;2601;0.75293571;0.75282198;0.00000009;0.00000009;0.00000085;0.00029321;0.00000085;0.99970680
84;344;2594;6;2602;0.75540984;0.75771695;0.00000008;0.00000008;0.00000077;0.00026360;0.00000070;0.99973643
85;342;2588;3;2600;0.75787771;0.76090139;0.00000007;0.00000007;0.00000069;0.00023680;0.00000061;0.99976325
86;340;2581;2;2561;0.76033908;0.75367862;0.00000007;0.00000007;0.00000063;0.00021254;0.00000082;0.99978745
