hash_family;0
hash_number;10
area_number;255
bit_mapping;20
cells_number;1048576
cell_size;1
byte_size;1048576
members;65280
collisions;167200
sparsity;0.53689575
a-priori fpp;0.00045692
fpp;0.00045372
a-priori safeness probability;0.03131089
area;members;expected cells;self-collisions;cells;expected emersion;emersion;a-priori fpp;fpp;a-priori isep;expected ise;isep;a-priori safep
138;274;2056;3;2036;0.75124300;0.74388015;0.00000007;0.00000007;0.00000091;0.00024860;0.00000121;0.99975145
139;264;1986;5;1972;0.75313675;0.74838710;0.00000007;0.00000007;0.00000084;0.00022191;0.00000102;0.99977809
140;271;2044;6;2055;0.75508577;0.75998521;0.00000006;0.00000006;0.00000078;0.00021043;0.00000063;0.99978960
141;248;1875;3;1866;0.75687373;0.75333065;0.00000005;0.00000005;0.00000072;0.00017897;0.00000083;0.99982107
142;240;1819;2;1810;0.75860804;0.75479567;0.00000005;0.00000005;0.00000067;0.00016123;0.00000079;0.99983877
143;260;1975;2;1955;0.76049137;0.75250190;0.00000005;0.00000005;0.00000062;0.00016150;0.00000086;0.99983853
144;269;2048;2;2068;0.76244485;0.76934522;0.00000005;0.00000005;0.00000057;0.00015396;0.00000043;0.99984604
145;267;2038;3;2040;0.76438874;0.76490438;0.00000005;0.00000004;0.00000053;0.00014076;0.00000052;0.99985927
146;253;1936;2;1923;0.76623529;0.76068038;0.00000004;0.00000004;0.00000049;0.00012328;0.00000062;0.99987674
147;289;2217;3;2190;0.76835001;0.75857294;0.00000004;0.00000004;0.00000044;0.00012859;0.00000067;0.99987143
148;246;1892;2;1875;0.77015471;0.76281530;0.00000003;0.00000003;0.00000041;0.00010123;0.00000056;0.99989879
149;259;1997;4;1990;0.77205938;0.76952821;0.00000003;0.00000003;0.00000038;0.00009807;0.00000042;0.99990195
150;254;1963;0;1980;0.77393180;0.77952754;0.00000003;0.00000003;0.00000035;0.00008856;0.00000027;0.99991143
151;267;2069;3;2076;0.77590501;0.77840269;0.00000003;0.00000003;0.00000032;0.00008528;0.00000029;0.99991471
152;231;1794;2;1786;0.77761620;0.77383018;0.00000002;0.00000002;0.00000030;0.00006834;0.00000035;0.99993169
153;268;2087;1;2088;0.77960622;0.77939528;0.00000003;0.00000003;0.00000027;0.00007246;0.00000027;0.99992752
154;284;2217;8;2210;0.78172058;0.78036726;0.00000002;0.00000002;0.00000025;0.00006973;0.00000026;0.99993026
155;249;1949;2;1950;0.78357911;0.78376204;0.00000002;0.00000002;0.00000023;0.00005613;0.00000022;0.99994385
156;244;1914;4;1914;0.78540462;0.78571427;0.00000002;0.00000002;0.00000021;0.00005054;0.00000020;0.99994946
157;228;1793;2;1791;0.78711420;0.78621596;0.00000002;0.00000002;0.00000019;0.00004359;0.00000020;0.99995643
158;259;2041;8;2029;0.78906083;0.78582495;0.00000002;0.00000002;0.00000017;0.00004517;0.00000020;0.99995482
159;240;1896;2;1860;0.79086888;0.77564639;0.00000001;0.00000001;0.00000016;0.00003841;0.00000032;0.99996161
160;290;2297;3;2326;0.79305917;0.80289954;0.00000002;0.00000002;0.00000014;0.00004177;0.00000009;0.99995822
161;245;1945;3;1951;0.79491436;0.79730284;0.00000001;0.00000001;0.00000013;0.00003225;0.00000012;0.99996775
162;271;2157;4;2138;0.79697144;0.79009610;0.00000001;0.00000001;0.00000012;0.00003225;0.00000017;0.99996775
163;253;2019;3;1978;0.79889667;0.78274632;0.00000001;0.00000001;0.00000011;0.00002737;0.00000023;0.99997264
164;230;1839;2;1824;0.80065095;0.79373366;0.00000001;0.00000001;0.00000010;0.00002280;0.00000014;0.99997723
165;276;2213;2;2228;0.80276114;0.80783176;0.00000001;0.00000001;0.00000009;0.00002459;0.00000007;0.99997538
166;256;2058;5;2078;0.80472338;0.81330723;0.00000001;0.00000001;0.00000008;0.00002064;0.00000005;0.99997938
167;254;2046;6;2069;0.80667508;0.81649566;0.00000001;0.00000001;0.00000007;0.00001852;0.00000004;0.99998146
168;263;2124;1;2130;0.80870092;0.81019402;0.00000001;0.00000001;0.00000007;0.00001726;0.00000006;0.99998271
169;291;2357;4;2341;0.81094831;0.80557466;0.00000001;0.00000001;0.00000006;0.00001697;0.00000008;0.99998301
170;239;1940;3;1944;0.81279880;0.81441140;0.00000001;0.00000001;0.00000005;0.00001263;0.00000005;0.99998736
171;236;1920;4;1909;0.81463021;0.81027162;0.00000000;0.00000000;0.00000005;0.00001131;0.00000006;0.99998868
172;269;2194;1;2197;0.81672275;0.81703234;0.00000001;0.00000001;0.00000004;0.00001150;0.00000004;0.99998850
173;248;2028;3;2036;0.81865668;0.82196206;0.00000000;0.00000000;0.00000004;0.00000954;0.00000003;0.99999046
174;241;1975;3;1956;0.82054037;0.81262982;0.00000000;0.00000000;0.00000003;0.00000835;0.00000005;0.99999166
175;249;2046;7;2040;0.82249117;0.82158679;0.00000000;0.00000000;0.00000003;0.00000773;0.00000003;0.99999225
176;266;2191;6;2240;0.82458031;0.84400904;0.00000000;0.00000000;0.00000003;0.00000734;0.00000001;0.99999267
177;250;2064;2;2034;0.82654864;0.81425142;0.00000000;0.00000000;0.00000002;0.00000616;0.00000005;0.99999386
178;272;2251;2;2217;0.82869548;0.81567329;0.00000000;0.00000000;0.00000002;0.00000592;0.00000005;0.99999410
179;239;1983;5;1973;0.83058643;0.82725364;0.00000000;0.00000000;0.00000002;0.00000465;0.00000002;0.99999535
180;247;2054;2;2057;0.83254528;0.83346838;0.00000000;0.00000000;0.00000002;0.00000428;0.00000002;0.99999571
181;282;2351;3;2361;0.83478731;0.83812565;0.00000000;0.00000000;0.00000002;0.00000427;0.00000001;0.99999571
182;243;2031;2;2053;0.83672410;0.84555191;0.00000000;0.00000000;0.00000001;0.00000327;0.00000001;0.99999672
183;269;2254;5;2247;0.83887339;0.83687150;0.00000000;0.00000000;0.00000001;0.00000317;0.00000001;0.99999684
184;247;2074;2;2044;0.84085172;0.82820100;0.00000000;0.00000000;0.00000001;0.00000257;0.00000002;0.99999744
185;280;2358;2;2335;0.84310007;0.83452463;0.00000000;0.00000000;0.00000001;0.00000253;0.00000002;0.99999750
186;248;2093;2;2086;0.84509647;0.84180790;0.00000000;0.00000000;0.00000001;0.00000197;0.00000001;0.99999803
187;254;2149;2;2162;0.84714603;0.85185188;0.00000000;0.00000000;0.00000001;0.00000177;0.00000001;0.99999821
188;258;2188;4;2196;0.84923297;0.85248446;0.00000000;0.00000000;0.00000001;0.00000157;0.00000000;0.99999845
189;260;2211;5;2212;0.85134131;0.85240847;0.00000000;0.00000000;0.00000001;0.00000137;0.00000000;0.99999863
190;249;2122;5;2124;0.85336536;0.85472834;0.00000000;0.00000000;0.00000000;0.00000114;0.00000000;0.99999887
191;235;2008;2;1999;0.85527998;0.85136288;0.00000000;0.00000000;0.00000000;0.00000095;0.00000001;0.99999905
192;245;2098;4;2110;0.85728073;0.86263287;0.00000000;0.00000000;0.00000000;0.00000086;0.00000000;0.99999917
193;246;2111;4;2097;0.85929430;0.85382736;0.00000000;0.00000000;0.00000000;0.00000075;0.00000000;0.99999923
