hash_family;5
hash_number;10
area_number;255
bit_mapping;20
cells_number;1048576
cell_size;1
byte_size;1048576
members;65280
collisions;167023
sparsity;0.53672695
a-priori fpp;0.00045692
fpp;0.00045538
a-priori safeness probability;0.03130724
area;members;expected cells;self-collisions;cells;expected emersion;emersion;a-priori fpp;fpp;a-priori isep;expected ise;isep;a-priori safep
105;256;1773;5;1725;0.69335639;0.67514676;0.00000042;0.00000041;0.00000735;0.00188182;0.00001309;0.99811995
106;256;1777;6;1763;0.69505125;0.69028974;0.00000040;0.00000040;0.00000695;0.00178036;0.00000812;0.99822122
107;256;1782;5;1773;0.69675022;0.69393349;0.00000038;0.00000038;0.00000658;0.00168362;0.00000721;0.99831778
108;256;1786;3;1766;0.69845337;0.69065309;0.00000036;0.00000036;0.00000622;0.00159142;0.00000803;0.99840987
109;256;1790;3;1847;0.70016062;0.72233087;0.00000034;0.00000036;0.00000587;0.00150358;0.00000272;0.99849755
110;256;1795;6;1772;0.70187211;0.69381362;0.00000033;0.00000032;0.00000555;0.00141993;0.00000724;0.99858105
111;256;1799;2;1771;0.70358777;0.69233775;0.00000031;0.00000031;0.00000524;0.00134030;0.00000760;0.99866062
112;256;1803;2;1791;0.70530760;0.70015639;0.00000030;0.00000030;0.00000494;0.00126453;0.00000587;0.99873626
113;256;1808;3;1817;0.70703167;0.71059835;0.00000028;0.00000029;0.00000466;0.00119247;0.00000412;0.99880826
114;256;1812;2;1808;0.70875990;0.70680219;0.00000027;0.00000027;0.00000439;0.00112396;0.00000469;0.99887669
115;256;1817;4;1809;0.71049237;0.70774651;0.00000025;0.00000026;0.00000414;0.00105886;0.00000455;0.99894172
116;256;1821;5;1806;0.71222913;0.70684934;0.00000024;0.00000024;0.00000389;0.00099703;0.00000469;0.99900347
117;256;1826;7;1845;0.71397007;0.72267920;0.00000023;0.00000023;0.00000367;0.00093833;0.00000269;0.99906212
118;256;1830;2;1827;0.71571529;0.71422988;0.00000022;0.00000022;0.00000345;0.00088262;0.00000363;0.99911779
119;256;1834;2;1827;0.71746480;0.71422988;0.00000021;0.00000021;0.00000324;0.00082979;0.00000363;0.99917054
120;256;1839;0;1829;0.71921855;0.71445310;0.00000020;0.00000020;0.00000305;0.00077969;0.00000360;0.99922061
121;256;1843;0;1880;0.72097659;0.73437500;0.00000019;0.00000019;0.00000286;0.00073223;0.00000175;0.99926805
122;256;1848;2;1865;0.72273892;0.72908521;0.00000018;0.00000018;0.00000268;0.00068727;0.00000213;0.99931294
123;256;1852;2;1863;0.72450560;0.72830337;0.00000017;0.00000017;0.00000252;0.00064471;0.00000219;0.99935549
124;256;1857;2;1872;0.72627658;0.73182172;0.00000016;0.00000016;0.00000236;0.00060445;0.00000192;0.99939573
125;256;1862;2;1855;0.72805190;0.72517592;0.00000015;0.00000015;0.00000221;0.00056637;0.00000246;0.99943382
126;256;1866;2;1826;0.72983152;0.71383893;0.00000014;0.00000014;0.00000207;0.00053038;0.00000368;0.99946976
127;256;1871;2;1890;0.73161554;0.73885846;0.00000013;0.00000014;0.00000194;0.00049638;0.00000147;0.99950373
128;256;1875;3;1888;0.73340386;0.73836529;0.00000013;0.00000013;0.00000181;0.00046428;0.00000150;0.99953586
129;256;1880;2;1903;0.73519659;0.74394059;0.00000012;0.00000012;0.00000170;0.00043399;0.00000121;0.99956608
130;256;1884;5;1869;0.73699373;0.73150682;0.00000011;0.00000011;0.00000158;0.00040542;0.00000195;0.99959469
131;256;1889;4;1869;0.73879522;0.73122066;0.00000011;0.00000010;0.00000148;0.00037849;0.00000197;0.99962157
132;256;1894;2;1920;0.74060112;0.75058639;0.00000010;0.00000010;0.00000138;0.00035312;0.00000093;0.99964696
